com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
49246,1,2,1,1,4.0
49248,1,1,2,0,3.0
49267,1,3,4,2,4.0
49291,1,1,1,0,3.0
49301,1,2,2,0,3.0
49308,1,3,0,4,4.0
49328,2,2,2,2,4.0
49331,1,2,1,1,3.0
49369,1,1,2,0,3.0
50076,1,1,1,0,2.0
50129,16,31,24,12,3.88
50239,1,2,2,0,4.0
50378,1,2,2,1,4.0
50419,1,1,0,1,3.0
50442,1,1,1,0,3.0
50453,1,2,1,1,4.0
50502,2,2,6,1,3.0
50551,1,2,1,1,3.0
50639,1,1,0,2,4.0
51029,1,1,0,2,4.0
51085,1,1,1,1,3.0
51108,1,2,1,1,3.0
51168,1,1,1,0,3.0
51172,2,4,3,1,4.0
51230,1,2,1,1,3.0
51242,1,2,3,0,4.0
51250,2,5,4,1,3.5
51264,1,1,0,1,3.0
51277,1,1,1,3,4.0
51282,1,2,2,0,2.0
51344,1,2,1,1,3.0
51380,1,2,2,0,3.0
51386,1,1,1,0,3.0
51391,1,2,2,0,4.0
51413,1,2,3,0,3.0
51431,1,1,0,1,4.0
51454,18,31,27,16,3.94
51480,1,2,2,1,3.0
51621,1,1,1,1,3.0
51625,1,2,1,1,3.0
51663,1,2,2,0,4.0
52028,1,1,1,0,4.0
52121,5,9,8,8,3.8
52135,1,1,2,2,4.0
52282,1,1,1,0,4.0
52432,2,2,3,1,3.0
52440,1,2,5,0,3.0
52448,4,6,3,5,3.25
52550,1,1,2,0,3.0
53121,2,4,6,0,4.0
53141,1,2,1,1,2.0
53147,1,2,0,3,4.0
53216,1,2,2,0,4.0
54025,1,1,1,0,4.0
54076,1,2,3,0,4.0
54099,1,1,0,2,4.0
54111,1,2,1,1,3.0
54116,1,1,1,0,2.0
54135,1,1,3,0,3.0
54184,1,2,2,0,4.0
54206,1,2,2,0,3.0
54265,1,2,2,0,4.0
54270,1,2,1,1,4.0
54300,1,1,2,0,4.0
54304,2,4,2,3,4.0
54312,1,3,2,1,4.0
54318,2,2,3,2,3.0
54323,3,3,2,2,3.67
54328,2,3,3,0,3.0
54329,1,2,1,1,3.0
54357,3,4,6,2,3.67
54382,1,2,2,0,4.0
54395,9,16,11,8,3.89
54437,1,2,1,1,3.0
54439,2,3,3,1,4.0
54482,1,1,0,1,4.0
54526,1,2,0,3,4.0
54528,1,2,0,2,4.0
54578,1,2,4,1,3.0
54580,1,1,0,2,4.0
55166,2,3,6,4,4.0
55236,1,1,4,0,3.0
55398,1,2,2,0,4.0
55545,1,2,2,0,4.0
56020,2,2,2,2,3.5
56036,2,2,1,2,3.5
56041,1,1,1,0,3.0
56090,1,1,1,1,3.0
56098,2,4,2,2,4.0
56099,1,2,1,1,4.0
56121,11,18,12,14,4.0
56123,1,2,1,1,3.0
56129,1,1,1,0,3.0
56162,1,2,2,0,4.0
56164,1,2,1,1,3.0
56167,1,1,2,0,4.0
56177,1,2,2,1,3.0
56184,1,2,3,0,3.0
56206,1,1,1,0,3.0
56211,1,3,4,1,4.0
56240,2,2,2,3,3.0
56260,1,1,4,0,3.0
57143,2,3,3,1,3.5
57146,1,2,3,0,3.0
57163,1,1,2,1,3.0
57206,1,1,2,0,3.0
57221,1,2,1,1,4.0
57283,1,2,1,1,4.0
57323,1,2,2,0,3.0
57350,1,1,1,1,3.0
57441,1,2,2,0,3.0
57443,1,1,1,1,3.0
57447,1,2,2,0,4.0
57480,1,2,1,0,4.0
57481,1,1,1,0,4.0
57482,1,3,2,1,4.0
57622,1,1,0,1,3.0
57630,1,1,3,0,4.0
57631,2,3,2,1,3.5
57647,1,2,2,0,3.0
57660,1,2,2,1,4.0
57666,1,2,2,0,4.0
57667,1,1,2,0,4.0
57672,1,1,1,1,4.0
57683,1,2,1,3,4.0
58067,1,1,0,1,2.0
58079,1,2,2,0,4.0
58092,1,2,2,0,4.0
58095,1,2,1,1,4.0
58102,1,1,1,1,3.0
58122,1,1,1,0,3.0
58160,1,1,0,1,3.0
58180,1,2,2,0,3.0
58194,3,6,4,3,4.0
58227,1,3,4,0,4.0
58238,1,1,2,0,4.0
58270,1,2,3,3,3.0
58303,1,2,3,0,4.0
59008,1,2,2,0,3.0
59009,3,6,4,4,3.0
59024,1,2,1,2,2.0
59029,1,2,2,0,4.0
59043,2,2,2,0,4.0
59071,1,3,2,1,4.0
59094,1,1,1,1,4.0
59143,2,4,3,2,3.0
59163,1,2,2,0,4.0
59178,2,2,2,2,3.0
59183,1,1,1,1,4.0
59212,1,1,1,1,3.0
59256,1,3,2,1,4.0
59260,2,3,3,0,2.5
59279,1,1,1,1,4.0
59303,1,2,1,2,4.0
59328,2,3,3,0,3.0
59337,1,2,1,1,3.0
59343,1,2,1,0,4.0
59346,1,1,3,0,4.0
59350,18,33,30,9,3.67
59352,1,1,1,1,4.0
59359,1,2,2,2,4.0
59368,1,2,2,0,4.0
59410,2,4,3,0,3.5
59411,1,1,1,1,4.0
59416,1,2,2,0,3.0
59426,1,1,1,1,4.0
59431,1,2,0,2,4.0
59437,1,1,1,0,3.0
59452,1,2,2,0,3.0
59462,1,1,0,1,4.0
59471,1,1,1,0,2.0
59497,1,1,1,0,3.0
59512,7,13,17,4,3.71
59515,1,1,1,0,4.0
59523,1,2,2,0,4.0
59524,1,2,2,0,2.0
59530,1,3,3,0,3.0
59557,1,2,2,1,4.0
59559,1,1,1,0,3.0
59569,1,1,1,1,3.0
59586,1,2,1,1,3.0
59588,1,2,1,1,3.0
59599,1,1,2,0,4.0
59603,1,1,1,0,2.0
59613,1,1,1,0,4.0
59646,1,2,2,0,3.0
59660,1,1,2,0,4.0
60021,1,2,3,2,4.0
